idx,area,name,addr1,addr2,zipcode,open_info,close_info,type,target1_code,target1_etc,target2_code,target2_etc,item_code,item_etc,lat,lng,sup_obj,sup_num,sup_item,storeType,img_src
271,도봉구,써이포차나,서울 도봉구 도봉동 597-21,1층,11,평일 오전 11시30분 부터 오후 9시30분,오후2시30분 부터 오후 6시까지,1,2,,1,,2,,37.67783199,127.0435593,결식아동,동반 1인,,태국 음식점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/271/e52e1c3ef5ea49b5bfe034db38718e63.jpg
100,도봉구,교촌치킨 쌍문역점,서울 도봉구 도봉로 505,1층 교촌치킨 쌍문역점,11,12:00 ~ 01:00,,1,3,,"01,02",,1,,37.65072874,127.0356034,"결식아동,독거노인",동반 2인,,후라이드/양념치킨집,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/100/321d018dca4a4abeb1945db4fbae3d0c.jpg
660,도봉구,메가커피 창동역점,서울 도봉구 마들로11가길 13,메가커피 창동역점,11,09:00~21:00,,1,99,첫방문시 맴버쉽쿠폰발급(아이 본인만),,,99,모든 음료,37.65290468,127.0492033,,첫방문시 맴버쉽쿠폰발급(아이 본인만),모든 음료,커피숍/커피 전문점,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
509,도봉구,소스공작단,서울 도봉구 마들로11길 75,무중력 지대 달 1/6,11,11:00 - 21:00,일요일,1,2,,"01,02",,1,,37.65315868,127.0487467,"결식아동,독거노인",동반 1인,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/509/a352bf6776bd48bab1520767af7f6658.jpg
1052,도봉구,바우네나주곰탕,서울 도봉구 방학동 717-2,105호 나주곰탕,11,오전8시부터 오후9시,없음,1,1,,1,,2,,37.66728591,127.0448214,결식아동,아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
1084,도봉구,청춘불닭발,서울 도봉구 창동 554-1,1층,11,16:00-02:00,일요일,1,2,,"01,02",,1,,37.63683067,127.0385739,"결식아동,독거노인",동반 1인,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
827,도봉구,주크(모드베베),서울 도봉구 창동 703,2층 주크(모드베베),11,확인요망,,99,,,1,,2,,37.65304462,127.037945,결식아동,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
782,동대문구,예술의악당음악학원,서울 동대문구 이문로1길 16-3,2층,7,오후2시부터 7시,"토,일,공휴일",2,1,,"01,02,99",기초생활수급자,99,피아노 교습비 90% 감면,37.58910135,127.0531211,"결식아동,독거노인,기초생활수급자 ",아이 본인만,피아노 교습비 9% 감면,음악학원,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/782/f5e824b0dd7348f99f2ad08e4d4825e0.jpeg
141,동대문구,사미커피,서울 동대문구 장한로14길 70,1층 사미커피,7,09:30~23:59,"평일 17:30~20:00, 주말X, 공휴일휴무",1,2,,"01,02",,1,,37.56512557,127.0716423,"결식아동,독거노인",동반 1인,,커피숍/커피 전문점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/141/ea949011a59c455a808bdac2f98a4b07.jpg
419,동대문구,유끼노하나,서울 동대문구 장한로36길 10,1층 유끼노하나,7,"낮12시~익일 새벽 1시(금,토 익일 새벽 2시)",오후 4시20분~6시 브레이크타임,1,1,,1,,1,,37.57742109,127.0728255,결식아동,아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/419/ac4cc640b9ea4725bec1257568c238c7.jpg
